,Event,dist(km),OC,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
F5kmWalk,5kmWalk,0,1187,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.94,0.9325,0.925,0.9175,0.9099,0.9023,0.8945,0.8866,0.8785,0.8703,0.862,0.8536,0.8451,0.8364,0.8276,0.8187,0.8097,0.8005,0.7912,0.7818,0.7723,0.7626,0.7528,0.7429,0.7329,0.7227,0.7125,0.702,0.6915,0.6809,0.6701,0.6592,0.6482,0.637,0.6258,0.6144,0.6028,0.5912,0.5794,0.5675,0.5555,0.5434,0.5311,0.5187,0.5062,0.4936,0.4808,0.4679,0.4549,0.4418,0.4286,0.4152,0.4017,0.388,0.3743,0.3604,0.3464,0.3323
F8kmWalk,8kmWalk,0,1944,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.94,0.9324,0.9247,0.9169,0.9089,0.9008,0.8926,0.8843,0.8758,0.8673,0.8586,0.8497,0.8408,0.8317,0.8225,0.8132,0.8037,0.7942,0.7845,0.7747,0.7647,0.7546,0.7445,0.7341,0.7237,0.7131,0.7025,0.6916,0.6807,0.6697,0.6585,0.6472,0.6357,0.6242,0.6125,0.6007,0.5888,0.5767,0.5645,0.5522,0.5398,0.5273,0.5146,0.5018,0.4889,0.4759,0.4627,0.4494,0.436,0.4224,0.4088,0.395,0.3811,0.3671,0.3529,0.3386,0.3242,0.3097
F10kmWalk,10kmWalk,0,2457,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9625,0.955,0.9475,0.9398,0.932,0.9241,0.9161,0.9079,0.8997,0.8913,0.8827,0.8741,0.8653,0.8564,0.8474,0.8383,0.829,0.8196,0.8101,0.8005,0.7907,0.7808,0.7708,0.7607,0.7504,0.74,0.7295,0.7189,0.7081,0.6972,0.6862,0.6751,0.6639,0.6525,0.641,0.6294,0.6176,0.6057,0.5937,0.5816,0.5694,0.557,0.5445,0.5319,0.5192,0.5063,0.4933,0.4802,0.467,0.4536,0.4401,0.4265,0.4128,0.3989,0.3849,0.3708,0.3566,0.3423,0.3278,0.3132,0.2985
F15kmWalk,15kmWalk,0,3761,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9623,0.9546,0.9467,0.9387,0.9306,0.9223,0.9139,0.9054,0.8968,0.888,0.8792,0.8702,0.8611,0.8518,0.8424,0.8329,0.8233,0.8136,0.8037,0.7937,0.7836,0.7734,0.763,0.7525,0.7419,0.7312,0.7203,0.7093,0.6982,0.687,0.6756,0.6642,0.6526,0.6408,0.629,0.617,0.6049,0.5927,0.5803,0.5679,0.5553,0.5425,0.5297,0.5167,0.5036,0.4904,0.4771,0.4636,0.45,0.4363,0.4225,0.4085,0.3945,0.3802,0.3659,0.3515,0.3369,0.3222,0.3074,0.2924,0.2773
F20kmWalk,20kmWalk,0,5089,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9617,0.9537,0.9456,0.9373,0.9289,0.9204,0.9118,0.903,0.8942,0.8852,0.876,0.8668,0.8574,0.8479,0.8383,0.8286,0.8187,0.8087,0.7986,0.7883,0.778,0.7675,0.7569,0.7461,0.7353,0.7243,0.7132,0.702,0.6906,0.6791,0.6675,0.6558,0.6439,0.632,0.6199,0.6076,0.5953,0.5828,0.5702,0.5575,0.5447,0.5317,0.5186,0.5054,0.492,0.4786,0.465,0.4513,0.4374,0.4235,0.4094,0.3952,0.3808,0.3664,0.3518,0.3371,0.3223,0.3073,0.2923,0.2771,0.2617
FH.Mar.Walk,H.Mar.Walk,0,5411,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9615,0.9535,0.9453,0.937,0.9286,0.92,0.9113,0.9025,0.8936,0.8846,0.8754,0.8661,0.8567,0.8471,0.8375,0.8277,0.8178,0.8077,0.7976,0.7873,0.7769,0.7663,0.7557,0.7449,0.734,0.723,0.7118,0.7005,0.6891,0.6776,0.6659,0.6542,0.6423,0.6303,0.6181,0.6058,0.5934,0.5809,0.5683,0.5555,0.5426,0.5296,0.5165,0.5032,0.4898,0.4763,0.4627,0.4489,0.435,0.421,0.4069,0.3926,0.3783,0.3638,0.3491,0.3344,0.3195,0.3045,0.2894,0.2741,0.2588
F25kmWalk,25kmWalk,0,6577,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9609,0.9526,0.9443,0.9359,0.9273,0.9186,0.9098,0.9008,0.8918,0.8826,0.8733,0.8638,0.8542,0.8446,0.8347,0.8248,0.8147,0.8046,0.7943,0.7838,0.7733,0.7626,0.7518,0.7408,0.7298,0.7186,0.7073,0.6959,0.6843,0.6727,0.6609,0.6489,0.6369,0.6247,0.6124,0.6,0.5875,0.5748,0.562,0.5491,0.5361,0.5229,0.5096,0.4962,0.4827,0.469,0.4552,0.4413,0.4273,0.4132,0.3989,0.3845,0.37,0.3553,0.3405,0.3256,0.3106,0.2955,0.2802,0.2648,0.2493
F30kmWalk,30kmWalk,0,8118,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9599,0.9516,0.9431,0.9345,0.9258,0.9169,0.9079,0.8988,0.8896,0.8802,0.8708,0.8612,0.8514,0.8416,0.8316,0.8215,0.8113,0.801,0.7905,0.7799,0.7692,0.7583,0.7474,0.7363,0.7251,0.7138,0.7023,0.6907,0.679,0.6672,0.6552,0.6431,0.6309,0.6186,0.6062,0.5936,0.5809,0.5681,0.5551,0.542,0.5288,0.5155,0.5021,0.4885,0.4748,0.461,0.4471,0.433,0.4188,0.4045,0.3901,0.3755,0.3608,0.346,0.3311,0.316,0.3008,0.2855,0.2701,0.2546,0.2389
F40kmWalk,40kmWalk,0,11334,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9581,0.9495,0.9407,0.9319,0.9229,0.9138,0.9046,0.8952,0.8857,0.8761,0.8664,0.8566,0.8466,0.8365,0.8263,0.8159,0.8055,0.7949,0.7842,0.7733,0.7623,0.7513,0.74,0.7287,0.7173,0.7057,0.694,0.6821,0.6702,0.6581,0.6459,0.6336,0.6211,0.6085,0.5958,0.583,0.5701,0.557,0.5438,0.5305,0.517,0.5034,0.4898,0.4759,0.462,0.4479,0.4337,0.4194,0.405,0.3904,0.3757,0.3609,0.346,0.331,0.3158,0.3005,0.285,0.2695,0.2538,0.238,0.2221
FMar.Walk,Mar.Walk,0,12062,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9985,0.9966,0.994,0.9906,0.9865,0.9816,0.976,0.9696,0.9577,0.949,0.9402,0.9313,0.9223,0.9132,0.9039,0.8945,0.885,0.8753,0.8656,0.8557,0.8456,0.8355,0.8252,0.8148,0.8043,0.7937,0.7829,0.772,0.761,0.7499,0.7386,0.7272,0.7157,0.7041,0.6924,0.6805,0.6685,0.6563,0.6441,0.6317,0.6192,0.6066,0.5939,0.581,0.568,0.5549,0.5416,0.5283,0.5148,0.5011,0.4874,0.4735,0.4596,0.4455,0.4312,0.4169,0.4024,0.3878,0.373,0.3582,0.3432,0.3281,0.3129,0.2975,0.282,0.2664,0.2507,0.2349,0.2189
