,Event,dist(km),OC,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
M5kmWalk,5kmWalk,0,1077.59,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,0.9998,0.9991,0.9977,0.9956,0.993,0.9897,0.9858,0.9813,0.9762,0.9704,0.9641,0.9571,0.9497,0.9423,0.9349,0.9275,0.9202,0.9128,0.9054,0.898,0.8907,0.8833,0.8759,0.8685,0.8611,0.8538,0.8464,0.839,0.8315,0.8239,0.8162,0.8085,0.8006,0.7927,0.7846,0.7765,0.7683,0.76,0.7516,0.7431,0.7345,0.7258,0.717,0.7082,0.6992,0.6902,0.6811,0.6718,0.6625,0.6531,0.6436,0.634,0.6244,0.6146,0.6047,0.5948,0.5847,0.5746,0.5644,0.5541,0.5437,0.5332,0.5226,0.5119,0.5011,0.4903,0.4793,0.4683,0.4571,0.4459,0.4346,0.4232,0.4117
M8kmWalk,8kmWalk,0,1766,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,0.9994,0.9983,0.9965,0.9941,0.9911,0.9875,0.9833,0.9785,0.973,0.9669,0.9602,0.953,0.9456,0.9383,0.931,0.9236,0.9163,0.9089,0.9016,0.8942,0.8869,0.8795,0.8722,0.8648,0.8575,0.8501,0.8428,0.8354,0.8278,0.8202,0.8124,0.8046,0.7966,0.7885,0.7804,0.7721,0.7637,0.7552,0.7467,0.738,0.7292,0.7203,0.7113,0.7021,0.6929,0.6836,0.6742,0.6647,0.655,0.6453,0.6354,0.6255,0.6154,0.6053,0.595,0.5846,0.5742,0.5636,0.5529,0.5421,0.5312,0.5202,0.5091,0.4979,0.4866,0.4752,0.4637,0.4521,0.4403,0.4285,0.4165,0.4045
M10kmWalk,10kmWalk,0,2231,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,0.9996,0.9986,0.997,0.9948,0.992,0.9886,0.9846,0.9799,0.9746,0.9688,0.9623,0.9552,0.9479,0.9405,0.9332,0.9259,0.9186,0.9112,0.9039,0.8966,0.8893,0.8819,0.8746,0.8673,0.86,0.8526,0.8453,0.8379,0.8304,0.8228,0.8151,0.8072,0.7993,0.7912,0.783,0.7747,0.7663,0.7577,0.7491,0.7403,0.7315,0.7225,0.7134,0.7042,0.6948,0.6854,0.6758,0.6662,0.6564,0.6465,0.6365,0.6264,0.6161,0.6058,0.5953,0.5847,0.574,0.5632,0.5523,0.5413,0.5301,0.5189,0.5075,0.496,0.4844,0.4727,0.4608,0.4489,0.4368,0.4247,0.4124,0.4
M15kmWalk,15kmWalk,0,3424,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,0.9999,0.9994,0.9982,0.9964,0.994,0.991,0.9874,0.9832,0.9785,0.9731,0.9671,0.9605,0.9533,0.9461,0.9388,0.9315,0.9243,0.917,0.9097,0.9024,0.8952,0.8879,0.8806,0.8734,0.8661,0.8588,0.8515,0.8443,0.8369,0.8293,0.8216,0.8138,0.8059,0.7978,0.7896,0.7812,0.7728,0.7641,0.7554,0.7465,0.7374,0.7283,0.7189,0.7095,0.6999,0.6902,0.6803,0.6703,0.6602,0.6499,0.6395,0.629,0.6183,0.6075,0.5966,0.5855,0.5742,0.5629,0.5514,0.5398,0.528,0.5161,0.504,0.4919,0.4795,0.4671,0.4545,0.4418,0.4289,0.4159,0.4028,0.3895
M20kmWalk,20kmWalk,0,4641,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,0.9998,0.999,0.9976,0.9957,0.9931,0.99,0.9862,0.9819,0.977,0.9715,0.9654,0.9587,0.9515,0.9443,0.9371,0.9299,0.9227,0.9154,0.9082,0.901,0.8938,0.8866,0.8793,0.8721,0.8649,0.8577,0.8505,0.8432,0.8358,0.8282,0.8205,0.8126,0.8045,0.7963,0.7879,0.7794,0.7707,0.7618,0.7528,0.7437,0.7343,0.7248,0.7152,0.7054,0.6954,0.6853,0.675,0.6645,0.6539,0.6432,0.6322,0.6211,0.6099,0.5985,0.5869,0.5752,0.5633,0.5513,0.5391,0.5267,0.5142,0.5015,0.4887,0.4757,0.4625,0.4492,0.4357,0.4221,0.4083,0.3943,0.3802
MH.Mar.Walk,H.Mar.Walk,0,4919,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,0.9999,0.9992,0.9979,0.996,0.9935,0.9905,0.9868,0.9826,0.9778,0.9724,0.9664,0.9598,0.9527,0.9455,0.9383,0.9311,0.9239,0.9167,0.9095,0.9023,0.8951,0.8879,0.8807,0.8734,0.8662,0.859,0.8518,0.8446,0.8372,0.8296,0.8219,0.814,0.806,0.7978,0.7894,0.7809,0.7722,0.7633,0.7542,0.7451,0.7357,0.7262,0.7165,0.7066,0.6966,0.6864,0.6761,0.6655,0.6549,0.644,0.633,0.6218,0.6105,0.599,0.5873,0.5755,0.5635,0.5514,0.539,0.5265,0.5139,0.5011,0.4881,0.475,0.4616,0.4482,0.4345,0.4207,0.4068,0.3926,0.3783
M25kmWalk,25kmWalk,0,5931,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,0.9996,0.9986,0.997,0.9949,0.9922,0.9889,0.985,0.9806,0.9755,0.9699,0.9637,0.9569,0.9498,0.9426,0.9354,0.9283,0.9211,0.9139,0.9068,0.8996,0.8924,0.8853,0.8781,0.8709,0.8638,0.8566,0.8494,0.8422,0.8347,0.8271,0.8192,0.8112,0.8031,0.7947,0.7861,0.7774,0.7685,0.7594,0.7501,0.7407,0.731,0.7212,0.7112,0.701,0.6906,0.6801,0.6693,0.6584,0.6473,0.636,0.6246,0.6129,0.6011,0.5891,0.5769,0.5645,0.5519,0.5392,0.5263,0.5132,0.4999,0.4864,0.4728,0.4589,0.4449,0.4307,0.4164,0.4018,0.387,0.3721
M30kmWalk,30kmWalk,0,7264,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,0.9999,0.9993,0.9981,0.9964,0.9941,0.9912,0.9878,0.9838,0.9792,0.974,0.9683,0.962,0.9551,0.948,0.9409,0.9338,0.9267,0.9196,0.9125,0.9053,0.8982,0.8911,0.884,0.8769,0.8698,0.8627,0.8556,0.8484,0.8411,0.8336,0.8259,0.818,0.8098,0.8015,0.793,0.7842,0.7753,0.7661,0.7568,0.7472,0.7375,0.7275,0.7173,0.7069,0.6964,0.6856,0.6746,0.6634,0.652,0.6404,0.6286,0.6165,0.6043,0.5919,0.5792,0.5664,0.5534,0.5401,0.5267,0.513,0.4991,0.4851,0.4708,0.4563,0.4416,0.4268,0.4117,0.3964,0.3809,0.3652
M40kmWalk,40kmWalk,0,10038,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9996,0.9986,0.997,0.995,0.9923,0.9892,0.9854,0.9812,0.9763,0.971,0.965,0.9586,0.9516,0.9446,0.9376,0.9306,0.9236,0.9166,0.9096,0.9026,0.8956,0.8886,0.8816,0.8746,0.8675,0.8605,0.8535,0.8464,0.839,0.8313,0.8234,0.8152,0.8068,0.7981,0.7892,0.7801,0.7706,0.761,0.7511,0.7409,0.7305,0.7198,0.7089,0.6977,0.6863,0.6746,0.6627,0.6505,0.6381,0.6255,0.6125,0.5994,0.5859,0.5723,0.5583,0.5442,0.5297,0.5151,0.5001,0.485,0.4695,0.4539,0.4379,0.4217,0.4053,0.3886,0.3717,0.3545
MMar.Walk,Mar.Walk,0,10655,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,0.9997,0.9989,0.9976,0.9956,0.9932,0.9902,0.9866,0.9826,0.9779,0.9727,0.967,0.9607,0.9539,0.947,0.94,0.933,0.926,0.919,0.912,0.9051,0.8981,0.8911,0.8841,0.8771,0.8701,0.8632,0.8562,0.8491,0.8418,0.8342,0.8263,0.8182,0.8099,0.8012,0.7923,0.7832,0.7738,0.7641,0.7542,0.744,0.7335,0.7228,0.7118,0.7006,0.6891,0.6773,0.6653,0.653,0.6405,0.6277,0.6146,0.6013,0.5877,0.5739,0.5598,0.5454,0.5308,0.5159,0.5008,0.4854,0.4697,0.4538,0.4376,0.4212,0.4045,0.3875,0.3703,0.3528
